DMS ID,Assay,Antigen,PSSM_Spearman,EVH_Spearman,EVE_Spearman,ali_confidence,Ensemble_ESM1v,SaProt_AF,SaProt_PDB,tranception_score,plm_confidence,tranception_retrieval,trancepteve,VESPA,EVEREST
CVB3_2A_Alvarez,fitness,False,0.5349339697593568,0.3736461264155407,0.5380389504716475,143.14696969696968,0.2374667267614579,0.3852797254289273,0.552333078937702,0.3917020659103423,0.8152006801805998,0.4697607349759042,0.5007478729486178,0.4273052408069433,0.633529499346486
CVB3_2B_Alvarez,fitness,False,0.6018361558763259,0.5534725407904846,0.5624730967199487,149.99999999999994,0.1241520931776634,0.1481884646110839,0.2003706212444667,0.5605865025806808,0.461995425977205,0.6243572803397519,0.6264363748861352,0.4714070953227611,0.5710900781665598
CVB3_2C_Alvarez,fitness,False,0.4472593411781573,0.4980052368792234,0.5503571172641445,55.01653681251804,0.13597257809641,0.2703132819708725,0.3101665313397475,0.4128511216913794,0.7332177664104261,0.4963029868009913,0.5490751272451245,0.5177108243221676,0.5570300305011633
CVB3_3A_Alvarez,fitness,False,0.419752488244101,0.4555713980447414,0.4994740718123978,91.0,0.083628574073603,0.1814430226695141,0.2268519839748969,0.4419239737629319,0.5136051679912367,0.498740626266788,0.5608587084196862,0.4242450582590495,0.5195663816552033
CVB3_3B_Alvarez,fitness,False,0.3458993636945837,0.3385473411037593,0.356152698303379,7.000000000000003,0.0669767512729343,-0.1006124481786451,0.108035692430051,0.0864098609551387,0.1825446078651829,0.3642218705321944,0.3935351936930941,0.1873337639641191,0.3570180409371088
CVB3_3C_Alvarez,fitness,False,0.5268257931135317,0.5070200391148031,0.5566571094577153,61.676052073556654,0.1108434087636558,0.302589387505274,0.4537986505915319,0.4094956886503945,0.8619201685252943,0.510645631236644,0.5537340640955046,0.5741539178877106,0.5834887563476124
CVB3_3D_Alvarez,fitness,False,0.4323551058084416,0.498592589942871,0.5677346544645021,457.6759631349283,0.3122374016926377,0.357123718027321,0.594492683424289,0.4511227483843918,0.9194043184581556,0.5078267464037467,0.570404001340335,0.5785302716543396,0.6366898862811166
CVB3_VP1_Alvarez,fitness,True,0.3981948658610895,0.3639893608959037,0.4411288683964833,59.99282569329075,0.4526511384504855,0.2012439676616478,0.4972950448308026,0.3382889585694428,0.9090669531571236,0.4096126526832229,0.4393582976383448,0.471543055093688,0.5043621724279378
CVB3_VP3_Alvarez,fitness,True,0.3824544351330135,0.4415835277271525,0.4556869697833231,4.915794245945047,0.1044821987554193,0.1736165749915836,0.4419097084909729,0.2349280092640701,0.9532958269119264,0.3616228777729478,0.4420560766902615,0.4045077286004321,0.4730489576738399
EV_CAPSD_Bakhache,fitness,True,0.1986265852289076,0.2469871765316524,0.2506288706554433,26.13026476239517,0.121449964736092,0.0601179619681525,0.14253019366719,0.2655801553271052,0.8164138041044536,0.2662321471078007,0.2845450418639184,0.2999281416040251,0.2430957845969416
EV_REP_Bakhache,fitness,False,0.322142753313518,0.3699705087293424,0.4409670065612804,329.21902403229666,0.1256095501419186,0.252711412016674,0.3036163577648448,,0.787226024426912,0.4248101845264538,0.4725346429751847,0.402009543565776,0.4594833634505403
IAV_H5_HA_Dadonaite,fitness,True,0.439767207071201,0.3566898351065862,0.4321901386524064,628.6260801879224,0.5360726298929012,0.2044100459601748,0.4733909143837491,0.467682198232016,0.8981513349633468,0.5112532762208695,0.4880826320411144,0.4530565438910441,0.5118714739042847
LASSA_GP_Carr,fitness,True,0.5110520586628856,0.3166958163616161,0.4995419578594051,276.0586030637686,0.0733436541155735,0.2790406829845989,0.2795551164419239,0.1867108530824167,0.54325018431011,0.3731191032079243,0.4808923791337179,0.3350851252128583,0.5405756786382353
NIPAH_F_Larsen,fitness,True,0.3123727518228275,0.2908046079375743,0.3634736126868271,9.0,0.07234713883308,0.2342461123535922,0.24255539228229,0.0566435483162873,0.7372529130232962,0.2623824179038449,0.3517832724319549,0.3370132707271545,0.3778407937766732
